image,species,individual_id,box
00021adfb725ed.jpg,0,0,2 116 802 665
000562241d384d.jpg,1,1,588 597 3504 1477
0007c33415ce37.jpg,2,2,0 453 3183 1589
0007d9bca26a99.jpg,3,3,1 91 2636 1495
00087baf5cef7a.jpg,1,4,1139 1590 3574 1913
000a8f2d5c316a.jpg,3,5,259 443 2053 1068
000be9acf46619.jpg,4,6,
000bef247c7a42.jpg,1,7,22 1264 2702 1536
000c3d63069748.jpg,4,8,42 52 444 154
000c476c11bad5.jpg,3,9,1234 696 2257 1210
001001f099519f.jpg,5,10,788 1036 2101 1373
00103cbe9d25ce.jpg,6,11,180 505 2143 939
00144776eb476d.jpg,3,5,1394 328 3271 926
00167e8375c967.jpg,4,12,
00177f3c614d1e.jpg,3,13,619 1100 2071 1849
0017b3749cd769.jpg,3,14,1501 1004 2388 1367
0018064338b499.jpg,7,15,
001b0900f56e89.jpg,1,16,1332 1179 3598 1493
001cfade605960.jpg,7,17,
001f1a1f22da96.jpg,5,18,1662 853 2287 1038
0020004d64ae20.jpg,8,19,
00206a224e68de.jpg,7,20,
0022bdb8eb5684.jpg,1,21,1 87 868 215
00234b893ea9e8.jpg,2,22,0 70 222 240
0024057bbc89a4.jpg,5,23,1979 1158 2250 1364
00243d4b15bafc.jpg,4,24,
002618d6f63ebc.jpg,9,25,
0028f6fa123686.jpg,3,26,1418 505 1863 940
0029d877c29ab4.jpg,0,27,8 57 1129 728
002ac5f9ad7c10.jpg,2,28,1 1591 521 2172
002e00960cec44.jpg,10,29,0 148 1139 830
002fb5fee50b97.jpg,1,30,82 150 2538 664
0030835e895969.jpg,11,31,1192 1012 1949 1282
0032f90c7732b0.jpg,0,32,76 98 752 581
00354cd9244e28.jpg,4,33,
0036b5c11b39f3.jpg,12,34,18 358 3587 1976
0038d3be2513c0.jpg,7,35,35 22 2439 350
0039599b58fc80.jpg,3,36,259 940 1991 1368
00398cfc6f6675.jpg,4,37,
0039955230421d.jpg,4,38,
003ab41b6147f4.jpg,4,39,
003e374b59c0e1.jpg,13,40,0 27 446 451
003ffd805a5910.jpg,0,41,0 28 603 463
00405189464f9d.jpg,1,42,119 203 977 391
004132b34ded14.jpg,1,43,516 923 3183 1410
0042dfc65c7987.jpg,4,44,125 177 1927 619
0044ec4ae5ecfd.jpg,11,45,
0044fb81b4f1c7.jpg,1,46,260 276 945 566
0046ceef89b3fc.jpg,5,47,1508 1130 2079 1254
004797c1c43563.jpg,2,48,
0049b56a584eb1.jpg,3,36,893 937 2027 1441
004a0038d162d9.jpg,4,49,752 650 1431 782
004a7fef39cf16.jpg,1,50,456 527 1801 735
