image,species,individual_id,box
00021adfb725ed.jpg,0,cadddb1636b9,2 116 802 665
000562241d384d.jpg,1,1a71fbb72250,588 597 3504 1477
0007c33415ce37.jpg,2,60008f293a2b,0 453 3183 1589
0007d9bca26a99.jpg,3,4b00fe572063,1 91 2636 1495
00087baf5cef7a.jpg,1,8e5253662392,1139 1590 3574 1913
000a8f2d5c316a.jpg,3,b9907151f66e,259 443 2053 1068
000be9acf46619.jpg,4,afb9b3978217,
000bef247c7a42.jpg,1,444d8894ccc8,22 1264 2702 1536
000c3d63069748.jpg,4,df94b15285b9,42 52 444 154
000c476c11bad5.jpg,3,b11b2404c7e3,1234 696 2257 1210
001001f099519f.jpg,5,19fbb960f07d,788 1036 2101 1373
00103cbe9d25ce.jpg,6,180c0ab04dcd,180 505 2143 939
00144776eb476d.jpg,3,b9907151f66e,1394 328 3271 926
00167e8375c967.jpg,4,0ad50d0d9b06,
00177f3c614d1e.jpg,3,812be36c2aef,619 1100 2071 1849
0017b3749cd769.jpg,3,445270d9ad52,1501 1004 2388 1367
0018064338b499.jpg,7,4790ec346170,
001b0900f56e89.jpg,1,bc14b5054353,1332 1179 3598 1493
001cfade605960.jpg,7,ff69d0975a73,
001f1a1f22da96.jpg,5,780fefdb6198,1662 853 2287 1038
0020004d64ae20.jpg,8,a8c9dfb8ac6f,
00206a224e68de.jpg,7,6c4372e42db1,
0022bdb8eb5684.jpg,1,35f898e6595e,1 87 868 215
00234b893ea9e8.jpg,2,bfb74132d1db,0 70 222 240
0024057bbc89a4.jpg,5,114207cab555,1979 1158 2250 1364
00243d4b15bafc.jpg,4,3cbfd98eea8f,
002618d6f63ebc.jpg,9,f5eab86405b4,
0028f6fa123686.jpg,3,956562ff2888,1418 505 1863 940
0029d877c29ab4.jpg,0,c27f0a7f4e5a,8 57 1129 728
002ac5f9ad7c10.jpg,2,f7bb4f9a9d1a,1 1591 521 2172
002e00960cec44.jpg,10,e943980b7a98,0 148 1139 830
002fb5fee50b97.jpg,1,45fc3a8e1d4e,82 150 2538 664
0030835e895969.jpg,11,1816cc1ae38b,1192 1012 1949 1282
0032f90c7732b0.jpg,0,a21288153152,76 98 752 581
00354cd9244e28.jpg,4,a03830613b45,
0036b5c11b39f3.jpg,12,fefd0899a5dc,18 358 3587 1976
0038d3be2513c0.jpg,7,6348a7ef0d99,35 22 2439 350
0039599b58fc80.jpg,3,e69d5f9f8d1e,259 940 1991 1368
00398cfc6f6675.jpg,4,90c9eaca0927,
0039955230421d.jpg,4,5ca799f80b5e,
003ab41b6147f4.jpg,4,92ff817f9805,
003e374b59c0e1.jpg,13,456bb79da64c,0 27 446 451
003ffd805a5910.jpg,0,2842789d601d,0 28 603 463
00405189464f9d.jpg,1,cab2ce1793f2,119 203 977 391
004132b34ded14.jpg,1,3e025417eb83,516 923 3183 1410
0042dfc65c7987.jpg,4,fcc405e10c09,125 177 1927 619
0044ec4ae5ecfd.jpg,11,e6388e8a7f58,
0044fb81b4f1c7.jpg,1,ede6a5ed0100,260 276 945 566
0046ceef89b3fc.jpg,5,37c7aba965a5,1508 1130 2079 1254
004797c1c43563.jpg,2,07a477b6a091,
0049b56a584eb1.jpg,3,e69d5f9f8d1e,893 937 2027 1441
004a0038d162d9.jpg,4,f9e081dac2f2,752 650 1431 782
004a7fef39cf16.jpg,1,471ee7717ce7,456 527 1801 735
004a923b0b401e.jpg,5,ce6e37904aa4,1295 396 1902 703
004efe00a3e100.jpg,7,dc27b43c825e,18 62 1835 392
005135ee15df6c.jpg,3,345b6233994f,0 296 3456 2304
005248b53efb3c.jpg,1,f38dcf315fde,240 898 3276 1570
0053d003390997.jpg,8,fdcf5957ae47,532 744 2884 1063
00549928dca501.jpg,1,032fd951a415,605 817 2888 1407
005a9cc627a55d.jpg,14,82aee03bc09b,
005b72434149fa.jpg,13,2fad69faf2a4,0 24 836 1085
005e317de9a658.jpg,7,99be972e093d,
005e53b1b6aada.jpg,5,37c7aba965a5,1801 1138 2537 1273
005f85f23464f8.jpg,1,0b180ad0afa2,1731 918 2729 1229
006033d6691cef.jpg,7,2f2a8d23f37d,
006077a8e080fa.jpg,1,299dd7c209df,
00621ef445e09f.jpg,3,f195c38bcf17,316 738 1910 1186
00647f8ff9f243.jpg,15,fb492f141125,15 229 1357 686
00665aba3c163b.jpg,1,be05e480ae65,2477 788 3046 987
0067205f90977d.jpg,0,e50fcf9eefa8,
006b2548d360a6.jpg,4,06ef73efe924,394 104 2096 464
006cc681396f71.jpg,15,2f5a62b26ef2,1 100 3599 1178
006f1f7c9ea3c2.jpg,3,812be36c2aef,1361 780 2846 1187
006fc52f81ab7d.jpg,3,73e13d5e4ada,475 769 2811 1584
007003e07cb9fd.jpg,1,6669f6bcfef6,192 1100 2525 1577
007097146016e6.jpg,16,453039468cbf,
0070b4e405cd8d.jpg,3,9f3613b5c45b,951 916 2053 1293
0074ad8c5e4a13.jpg,3,cc0e0b020a90,1512 684 3314 1234
00756614506440.jpg,7,51d8eb322bbd,
0076826dae9092.jpg,7,9ef7e5421462,
007784cb6d6631.jpg,0,61d80f453ccf,0 92 292 250
0079009e883e38.jpg,2,19c2bfaa0819,11 126 1833 738
