image,species,individual_id,box
788c32fcbbaebd.jpg,12,ab513ea91a67,0 249 3599 2286
788d819cdcc907.jpg,9,08f362013156,113 213 2239 448
78eef4f1bd48f8.jpg,9,2bad72bc566b,
78ef405574125d.jpg,9,5140a9410ade,
78fd732e37d271.jpg,9,027cb7b5e11f,
79164583f36623.jpg,9,6c02245e5e78,
79ae5be7fb590e.jpg,12,93318c1883a0,0 56 610 238
79bf968fa99c59.jpg,9,741ae35c4f37,860 646 3008 1816
79c1d50f4e0fbf.jpg,9,f5187b86f2b0,
79ede6a8533eab.jpg,12,9d79b0c181d7,1 82 1909 806
7a38de7c97d300.jpg,9,4218a69528f5,382 766 2396 1099
7ab15514ad60ce.jpg,12,dae3d776e9f3,6 317 2663 1705
7adc2361cd6179.jpg,9,35386ad5be61,10 260 3248 707
7b024da5902ac0.jpg,9,e118d3a53092,
7b17f71c8e9053.jpg,9,db095f050991,
7b2373d3ed301a.jpg,9,073709b64a4e,
7b8c12b0ddb0c9.jpg,24,59f8ea3ec2f3,0 582 2040 1456
7b9a7926472f6f.jpg,9,63ed7413e4e4,
7ba5d223644b08.jpg,9,0ee37ebee171,58 139 2067 451
7bd101cce2a991.jpg,9,23266352f8bb,
7c05af3ddbd6a6.jpg,24,5bcc146cb805,105 678 2368 1537
7c7635130fe7ad.jpg,12,e3671cc22711,0 387 3598 1615
7c8b8c456b4778.jpg,12,8d6d01916990,309 265 2004 1040
7c963eb093e46d.jpg,9,3fd2c5c4f862,
7cf176a197090f.jpg,9,f5ff2e2e7df6,
7d43654620da6b.jpg,10,c48d52cee5c6,367 86 1172 396
7d5bc4ea2678cd.jpg,20,c25289cd2eb8,0 99 1826 1053
7de9cc56573890.jpg,9,9e9d7a1c9d4d,1089 568 2780 825
7e1b08b14399dc.jpg,9,7dadcfa052e5,
7e35e591692b2b.jpg,9,402c0dda74aa,
7e585ee2325866.jpg,24,f648672f429a,366 856 3082 1363
